

=== TOP 60 BY CUMULATIVE ===
         8044788 function calls (8044532 primitive calls) in 9.616 seconds

   Ordered by: cumulative time
   List reduced from 480 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   225001    0.062    0.000    0.078    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/classes/reportviews.py:856(__iter__)
    49826    0.061    0.000    0.131    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:475(issubdtype)
     6963    0.060    0.000    0.060    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:156(calc_utility_prop)
    50075    0.059    0.000    0.227    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2304(sum)
      901    0.058    0.000    0.060    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/nkModel_ICE.py:157(calculate_fitness_single)
        1    0.054    0.054    0.459    0.459 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/networkx/generators/random_graphs.py:388(watts_strogatz_graph)
   475360    0.052    0.000    0.052    0.000 {method 'update' of 'dict' objects}
     3001    0.051    0.000    0.051    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      547    0.047    0.000    0.047    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/scipy/special/_lambertw.py:6(lambertw)
    20626    0.044    0.000    0.044    0.000 {method 'remove' of 'list' objects}
    50262    0.042    0.000    0.235    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2436(any)
     7164    0.040    0.000    0.049    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)
    49519    0.040    0.000    0.040    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/socialNetworkUsers.py:1321(update_emisisons)
    12817    0.040    0.000    0.109    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:115(_mean)
    99652    0.037    0.000    0.060    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:293(issubclass_)
    99594    0.037    0.000    0.060    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/_core/getlimits.py:178(__new__)
   168711    0.036    0.000    0.036    0.000 {built-in method builtins.issubclass}
360998/360997    0.035    0.000    0.035    0.000 {built-in method builtins.len}
        1    0.032    0.032    0.032    0.032 {built-in method scipy.sparse._sparsetools.dia_matvecs}
        2    0.032    0.016    0.032    0.016 {method 'nonzero' of 'numpy.ndarray' objects}
      278    0.031    0.000    0.045    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/package/model/firm.py:440(select_car_lambda_research)
   153178    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
     6017    0.030    0.000    0.056    0.000 /home/daniel/Documents/Code/endogenous_innovation_and_preference_change/.venv/lib/python3.13/site-packages/numpy/lib/_shape_base_impl.py:1199(tile)
    49531    0.026    0.000    0.118    0.000 {method 'any' of 'numpy.ndarray' objects}


